 775 K01375.01  8.13 0.42
 776 K01379.01  1.44 0.04
 777 K01396.01  2.87 0.09
 778 K01396.02  1.82 0.07
 779 K01411.01  8.26 0.21
 780 K01412.01  3.33 0.12
 781 K01413.01  3.58 0.42
 782 K01413.02  3.49 0.43
 783 K01413.03  3.79 0.50
 784 K01426.01  3.08 0.06
 785 K01426.02  6.23 0.12
 786 K01426.03  6.38 0.12
 787 K01428.01  1.66 0.03
 788 K01431.01  7.44 0.14
 789 K01432.01  2.26 0.07
 790 K01432.02  1.75 0.07
 791 K01432.03  1.43 0.06
 792 K01432.04  1.96 0.09
 793 K01436.01  1.52 0.05
 794 K01436.02  1.95 0.06
 795 K01436.03  1.59 0.06
 796 K01438.01  3.19 0.15
 797 K01439.01  8.93 0.33
 798 K01442.01  1.30 0.03
 799 K01444.01  5.11 0.80
 800 K01466.01 10.94 0.29
 801 K01474.01 13.58 0.80
 802 K01477.01  9.36 0.24
 803 K01478.01  5.55 0.12
 804 K01480.01  3.08 0.10
 805 K01480.02  1.17 0.08
 806 K01486.01 10.51 0.29
 807 K01486.02  3.65 0.11
 808 K01528.01  1.29 0.04
 809 K01529.01  2.16 0.10
 810 K01529.02  1.49 0.08
 811 K01530.01  2.22 0.08
 812 K01531.01  1.01 0.03
 813 K01532.01  2.38 0.08
 814 K01533.01  1.40 0.04
 815 K01534.01  2.10 0.10
 816 K01534.02  1.29 0.07
 817 K01535.01  1.91 0.05
 818 K01536.01  1.36 0.05
 819 K01537.01  1.55 0.09
 820 K01546.01  6.04 0.12
 821 K01557.01  2.97 0.06
 822 K01557.02  2.57 0.06
 823 K01557.03  2.21 0.06
