koi,kepid,prot,prot_ref,prot_numflag,a18_prot,m13_prot,m15_prot,w13_prot
1623,11392618.0,,,0.0,21.3,,,
1628,6975129.0,5.73,a18,3.0,5.73,5.69,5.73,6.16
1629,8685497.0,,,1.0,18.08,,71.68,
1632,9277896.0,10.05,a18,2.0,10.05,,9.56,
1639,,,,0.0,,,,
1647,11153121.0,,,1.0,19.3,,31.97,
1655,11547505.0,,,1.0,18.65,,48.96,
1665,4932442.0,,,1.0,17.97,,46.95,
1666,5008501.0,,,0.0,,,,
1669,5183357.0,,,1.0,21.15,,9.47,
1688,6310636.0,14.54,a18,2.0,14.54,,13.5,
1692,6616218.0,26.99,a18,3.0,26.99,25.68,,
1695,6803855.0,,,1.0,15.82,,13.73,32.54
1706,7626370.0,14.89,a18,2.0,14.89,,25.15,
1707,7703955.0,,,1.0,20.39,,39.42,
1715,9836959.0,,,1.0,18.4,,86.82,
1726,8242434.0,32.11,m15,2.0,14.4,,32.11,34.8
1738,4365645.0,35.65,m15,2.0,18.38,35.87,35.65,15.62
1739,,,,0.0,,,,
1751,9729691.0,24.15,a18,3.0,24.15,23.95,23.58,23.41
1779,9909735.0,7.37,a18,3.0,7.37,7.15,,7.18
1781,11551692.0,10.55,a18,3.0,10.55,10.44,10.42,11.03
1783,10005758.0,,,1.0,23.75,,72.15,
1796,10019399.0,,,0.0,11.71,,,10.71
1797,10676014.0,10.91,a18,3.0,10.91,10.82,10.82,10.87
1800,11017901.0,6.58,a18,3.0,6.58,6.46,6.49,6.53
1802,11298298.0,14.01,a18,3.0,14.01,13.76,13.75,15.3
1803,4349442.0,22.96,a18,3.0,22.96,22.04,22.34,
1805,4644952.0,13.53,a18,3.0,13.53,13.37,13.42,13.15
1806,9529744.0,,,1.0,26.68,,47.14,
1808,7761918.0,8.73,a18,3.0,8.73,8.25,8.53,8.96
1809,8240797.0,21.39,a18,3.0,21.39,21.12,21.12,
1812,6279974.0,,,0.0,3.94,1.61,,
1813,9455325.0,18.84,a18,3.0,18.84,18.26,18.99,18.28
1815,9872283.0,18.62,a18,3.0,18.62,18.63,18.73,18.73
1818,7870032.0,15.72,a18,3.0,15.72,15.84,15.79,15.62
1819,9597058.0,12.95,a18,3.0,12.95,12.79,12.83,12.93
1820,8277797.0,19.77,a18,3.0,19.77,18.99,18.95,19.21
1822,5124667.0,11.69,a18,3.0,11.69,11.53,11.52,
1824,2989404.0,,,1.0,21.31,,34.79,
1825,5375194.0,10.46,a18,3.0,10.46,10.19,10.21,
1826,6468138.0,,,1.0,22.53,,14.42,8.27
1831,11601584.0,13.89,a18,2.0,13.89,,,
1832,11709244.0,14.14,m15,3.0,,14.17,14.14,14.7
1835,9471268.0,9.72,a18,3.0,9.72,9.65,9.65,9.77
1837,10657406.0,17.89,a18,3.0,17.89,18.12,18.05,18.28
1839,5856571.0,6.3,a18,3.0,6.3,6.25,6.26,
1841,11760231.0,25.75,a18,3.0,25.75,25.32,25.31,24.55
1845,3338885.0,38.43,m15,3.0,,39.71,38.43,38.35
1850,8826168.0,24.36,a18,2.0,24.36,,23.0,
1852,9763348.0,,,1.0,6.93,,69.22,
1854,9662811.0,25.4,a18,3.0,25.4,24.38,24.4,18.28
1856,11570749.0,28.28,a18,3.0,28.28,27.57,27.58,25.38
1858,8160953.0,18.73,a18,3.0,18.73,18.52,18.51,18.28
1860,4157325.0,21.64,a18,3.0,21.64,21.47,21.46,
1861,3648437.0,6.63,a18,3.0,6.63,6.52,6.55,6.53
1862,7286173.0,,,1.0,27.37,,27.92,11.36
1863,11126381.0,11.78,a18,3.0,11.78,11.53,11.53,11.54
1864,4149450.0,,,1.0,26.1,,55.0,
1871,9758089.0,21.07,d20,2.0,,44.1,,43.97
1875,9967771.0,25.13,a18,2.0,25.13,31.08,30.95,
1877,10454632.0,26.13,a18,3.0,26.13,25.95,25.77,25.82
1878,3098810.0,,,1.0,13.08,,80.94,
1883,11758544.0,11.72,a18,2.0,11.72,11.48,11.54,
1886,9549648.0,7.83,a18,3.0,7.83,7.31,7.45,
1888,10063802.0,,,1.0,7.67,,,
1889,11074178.0,19.93,a18,3.0,19.93,19.84,19.8,18.73
1891,8680979.0,,,1.0,,,39.15,
1893,8689793.0,,,1.0,,,79.38,
1894,11673802.0,,,1.0,42.8,,,
1897,5695524.0,25.68,a18,2.0,25.68,,25.93,
1898,7668663.0,,,1.0,14.23,,47.69,
1901,3629967.0,14.1,a18,2.0,14.1,,50.25,25.38
1904,8766650.0,21.16,a18,3.0,21.16,21.04,21.05,21.1
1905,10328393.0,24.33,a18,3.0,24.33,23.64,23.81,22.36
1909,10130039.0,16.9,a18,2.0,16.9,16.68,16.48,19.98
1913,9704384.0,21.81,a18,3.0,21.81,21.84,21.81,24.55
1915,9101496.0,13.78,a18,2.0,13.78,,13.46,
1917,10074466.0,,,1.0,15.66,,15.61,
1921,7755636.0,,,1.0,5.83,,,
1922,,,,0.0,,,,
1923,4989057.0,31.93,m15,2.0,14.28,31.84,31.93,
1924,5108214.0,17.76,a18,2.0,17.76,,,
1925,9955598.0,27.96,a18,2.0,27.96,,,
1928,5770074.0,18.55,a18,2.0,18.55,,18.3,
1929,10136549.0,,,1.0,6.2,,22.15,
1930,5511081.0,,,1.0,27.81,,23.43,
1931,10978763.0,16.84,m15,3.0,,16.92,16.84,16.66
1938,9651234.0,,,1.0,,,34.32,
