 1720196 12.478 0.064 2051767282457162752 291.236 0.019 37.298 0.024   25.302          7.287   1.390 1.742 0.560 4778.273  6.458 0.012
 1721558  6.256 0.023 2051770099955563520 291.548 0.021 37.280 0.026  -24.394  3.886  21.325   7.540 1.799 0.386 6286.822  2.839 0.004
 1721614  1.453 0.009 2051758452004263936 291.559 0.017 37.283 0.022   -3.018          4.863   0.735 1.726 0.081 6848.787  3.390 0.017
 1721795  0.887 0.008 2051758177126368768 291.596 0.011 37.264 0.015   -8.046  3.345   4.553   0.662 1.724 0.081 6457.179  3.519 0.026
 1721911 29.620 0.124 2051757283773164288 291.621 0.019 37.227 0.023   17.720         14.032   3.901 1.774 0.749 3804.131  8.113 0.004
 1722506 10.653 0.073 2051753504201995520 291.741 0.013 37.200 0.017   -4.407  3.333   5.712   0.947 1.732 0.295 4350.327  6.764 0.017
 1722735  1.993 0.005 2051776765745272064 291.791 0.025 37.200 0.033  -10.579          8.960   1.924 1.751 0.161 6246.833  3.432 0.009
 1722816  4.628 0.596 2051776868824499200 291.807 0.012 37.210 0.016   -3.499  3.183  11.001   2.659 1.761 0.453 6732.249  3.522 0.012
 1723845  9.373 0.013 2051727700037371904 292.019 0.013 37.206 0.016   -1.088          9.087   1.967 1.751 0.448 5682.451  5.060 0.010
 1723908 19.416 1.114 2051728077994513920 292.034 0.012 37.218 0.016    5.541  3.087  16.452   5.011 1.783 2.107 5975.161  4.900 0.005
 1723978  8.703 0.020 2051728211129762304 292.052 0.014 37.242 0.019   -7.761  3.177  11.685   2.924 1.764 0.604 5991.126  4.798 0.020
 1723993 10.524 0.018 2051728249793250048 292.056 0.014 37.247 0.019    4.092  3.170   9.451   2.093 1.753 0.630 5419.874  5.536 0.014
 1724720 24.050 0.426 2051733472473636096 292.205 0.013 37.275 0.016   -4.413         12.204   3.131 1.766 1.392 5556.978  5.417 0.012
 1724975 10.734 0.059 2051723057169052672 292.255 0.017 37.250 0.021  -16.899  1.307  14.665   4.181 1.776 0.657 5116.661  5.082 0.012
 1725133  1.790 0.003 2051722820954791168 292.286 0.019 37.240 0.022   -2.338  3.028   7.430   1.433 1.742 0.146 6122.412  4.505 0.012
 1725207  1.829 0.005 2051722060737144064 292.297 0.013 37.227 0.014   -1.028  3.038   8.198   1.673 1.747 0.153 6457.112  3.767 0.027
 1725376 11.728 0.324 2051722580436685312 292.332 0.023 37.263 0.028   -2.994  3.172   9.557   2.130 1.754 0.856 5824.442  4.557 0.016
 1725688  9.042 2.002 2051719247542076928 292.393 0.015 37.215 0.019   -5.603         13.282   3.577 1.771 0.659 5743.215  3.956 0.003
 1725997 13.065 0.559 2051812946547406336 292.460 0.029 37.224 0.035   -6.510  3.128  12.757   3.357 1.768 1.008 5964.076  4.793 0.014
 1726035 22.217 0.156 2051813152706414080 292.470 0.022 37.264 0.030    1.193  3.077   9.368   2.064 1.753 1.386 5494.922  5.209 0.010
 1849159 46.053 1.450 2099069509631748864 286.124 0.020 37.342 0.024  -10.693  1.277  23.729   8.923 1.806 2.913 6085.111  3.841 0.002
 1849238 27.167 5.824 2099071124539094528 286.151 0.015 37.379 0.018   13.784  4.597  10.622   2.516 1.759 1.338 5355.609  5.473 0.008
 1849386  8.984 0.031 2099066245456228864 286.193 0.016 37.308 0.020  -14.987  4.587   7.640   1.497 1.744 0.663 6077.570  4.347 0.015
 1849500 14.927 2.345 2099068203961369600 286.225 0.019 37.370 0.022  -27.869  4.802  16.945   5.250 1.785 1.124 6163.477  3.258 0.003
 1849547 21.583 0.069 2099066932651019520 286.240 0.021 37.305 0.025   -4.319  4.509   9.101   1.972 1.751 1.325 5511.694  5.047 0.010
 1849581  8.706 0.259 2099068616278259968 286.250 0.022 37.399 0.026   11.388  0.381  18.934   6.252 1.791 0.798 6422.695  3.311 0.007
 1849590 16.197 0.121 2099066967010769920 286.253 0.017 37.312 0.022   17.078  4.586  15.785   4.695 1.780 0.534 4076.676  7.639 0.012
 1849610 26.446 1.180 2099066760852677632 286.261 0.025 37.305 0.030   13.535  4.509  15.495   4.560 1.779 1.431 5484.880  4.677 0.005
 1849785 12.454 1.546 2099067413687423488 286.312 0.018 37.352 0.022  -12.608  4.581   9.019   1.944 1.751 0.858 6059.345  3.789 0.005
 1864087 19.181 0.055 2051076411196804864 290.456 0.021 37.336 0.027   -4.346  3.637   7.594   1.483 1.743 1.114 5631.946  4.976 0.014
 1864124  7.284 0.047 2051076892233180672 290.467 0.020 37.375 0.024  -12.567  0.292  15.058   4.359 1.778 0.422 6199.457  3.233 0.003
 1864305 17.577 0.084 2051076205038451968 290.510 0.017 37.373 0.021   -6.020          8.361   1.726 1.748 1.148 5349.672  5.313 0.013
 1864951  8.633 1.405 2051035145149892864 290.660 0.018 37.395 0.022    7.978  3.471  10.267   2.384 1.757 0.684 6282.648  4.096 0.008
